Est(s)     RSS(MB)    PSS(MB)    Ref(MB)
0.038      1413.13    1409.74      16.10
0.038      1452.54    1449.15      20.02
0.039      1470.55    1467.16      19.85
0.040      1459.58    1456.19      15.87
0.038      1494.25    1490.86      14.03
0.038      1477.51    1474.12       8.65
0.038      1507.61    1504.22       9.57
0.040      1506.40    1503.01      14.63
0.039      1513.29    1509.90      16.22
0.041      1554.07    1550.68      10.89
0.040      1542.38    1538.99      12.11
0.040      1570.12    1566.73      13.32
0.040      1558.29    1554.90      14.83
0.041      1599.24    1595.85      13.63
0.040      1581.30    1577.91      13.89
0.042      1626.80    1623.42      10.79
0.042      1654.80    1651.41       4.40
0.041      1639.42    1636.03      16.13
0.042      1668.86    1665.47      13.81
0.042      1647.84    1644.45      12.39
0.042      1689.55    1686.17      13.50
0.042      1683.58    1680.19      16.40
0.043      1713.09    1709.70      21.52
0.042      1740.27    1736.88      21.45
0.042      1722.44    1719.05      16.68
0.043      1745.47    1742.08      13.84
0.043      1752.54    1749.15      11.20
0.044      1775.94    1772.55       9.04
0.043      1776.09    1772.70      13.44
0.043      1794.53    1791.14      16.81
0.043      1818.59    1815.20       6.14
0.044      1819.11    1815.72      14.58
0.044      1850.12    1846.73      14.39
0.044      1826.23    1822.84       5.31
0.045      1868.93    1865.54       8.65
0.045      1864.14    1860.75      14.92
0.045      1877.58    1874.19      14.09
0.045      1910.03    1906.64       5.28
0.047      1918.25    1914.86      15.68
0.046      1940.20    1936.81      11.92
0.047      1931.38    1927.99      21.20
0.046      1956.07    1952.68      15.03
0.047      1963.60    1960.21      14.30
0.046      1967.41    1964.02      12.76
0.048      1997.70    1994.31      12.75
0.047      2003.70    2000.31      10.11
0.049      2033.55    2030.16       5.81
0.047      2019.63    2016.24      13.59
0.049      2043.64    2040.25      18.29
0.048      2053.87    2050.48      12.15
0.048      2066.70    2063.31       9.96
0.048      2084.24    2080.85      22.69
0.048      2081.68    2078.29      16.52
0.048      2115.19    2111.80       7.82
0.050      2099.06    2095.67      14.23
0.050      2129.98    2126.59      13.84
0.049      2145.51    2142.12       6.74
0.049      2164.15    2160.76       9.57
0.052      2153.71    2150.33      17.40
0.050      2174.54    2171.15      13.57
0.050      2192.27    2188.88      11.34
0.051      2207.19    2203.80      11.44
0.051      2235.31    2231.92      14.37
0.050      2226.68    2223.29      14.55
0.051      2245.28    2241.89      14.43
0.051      2248.54    2245.15       7.32
0.053      2282.12    2278.73       6.22
0.052      2282.73    2279.34       4.44
0.052      2297.28    2293.89      20.47
0.053      2320.27    2316.88       8.65
0.053      2309.31    2305.92      14.55
0.053      2351.82    2348.43      14.61
0.052      2348.61    2345.22       5.79
0.054      2376.36    2372.97      11.34
0.054      2389.54    2386.15      25.91
0.054      2369.50    2366.11      14.62
0.053      2404.32    2400.93       7.64
0.054      2420.57    2417.18      10.25
0.054      2442.80    2439.42      20.20
0.054      2440.03    2436.64      18.68
0.054      2445.77    2442.38      14.28
0.055      2449.97    2446.58      13.96
0.053      2473.44    2470.05      13.38
0.054      2478.72    2475.33      17.66
0.055      2514.85    2511.46      18.46
0.056      2531.70    2528.31      15.00
0.056      2518.20    2514.81      12.58
0.057      2554.80    2551.41      14.22
0.056      2554.95    2551.56      10.58
0.058      2579.52    2576.13      12.29
0.058      2590.78    2587.39      10.27
0.057      2611.15    2607.76      14.52
0.056      2605.20    2601.81      22.03
0.058      2619.92    2616.53      17.88
0.057      2652.71    2649.32      13.91
0.057      2650.94    2647.55      14.66
0.057      2658.71    2655.33      15.14
0.058      2682.93    2679.54      23.45
0.058      2683.92    2680.53      14.95
0.059      2684.36    2680.97      13.71
0.058      2707.10    2703.71      14.75
0.060      2730.64    2727.25      11.39
0.059      2741.40    2738.01      11.92
0.059      2766.11    2762.72      10.27
0.060      2764.15    2760.76      14.34
0.060      2787.92    2784.53      14.70
0.060      2794.21    2790.83      12.93
0.060      2814.53    2811.14       5.48
0.060      2815.71    2812.32      18.07
0.061      2837.34    2833.95      13.66
0.061      2859.68    2856.29      22.59
0.061      2866.83    2863.44      10.23
0.061      2894.71    2891.33      17.80
0.062      2882.75    2879.36      16.82
0.061      2909.89    2906.50      14.75
0.063      2911.18    2907.79      23.19
0.062      2930.92    2927.53      15.85
0.062      2941.39    2938.00       7.97
0.063      2953.67    2950.28      13.27
0.063      2962.46    2959.07      24.11
0.063      2968.79    2965.40      17.05
0.064      3011.63    3008.24      26.26
0.064      2992.24    2988.85      14.93
0.064      3017.62    3014.23      14.00
0.064      3012.96    3009.57      15.76
0.064      3051.66    3048.27      14.51
0.065      3056.71    3053.32      14.94
0.065      3082.33    3078.94      10.34
0.065      3091.81    3088.42      26.07
0.065      3081.12    3077.74      17.10
0.065      3119.48    3116.09      10.75
0.066      3130.20    3126.81      11.16
0.066      3160.36    3156.97       5.07
0.066      3143.43    3140.04      13.72
0.066      3179.84    3176.45      14.53
0.066      3173.28    3169.89      28.83
0.067      3199.79    3196.40       2.39
0.067      3197.56    3194.17      14.89
0.067      3209.46    3206.07      14.62
0.067      3236.55    3233.16      15.84
0.067      3251.47    3248.08       5.98
0.067      3273.88    3270.49       6.84
0.068      3265.11    3261.72      14.20
0.068      3259.18    3255.79      13.92
0.068      3299.43    3296.04      16.04
0.068      3307.41    3304.02      15.17
0.068      3318.30    3314.91      14.99
0.068      3340.71    3337.32      14.84
0.069      3354.59    3351.20      37.34
0.069      3366.33    3362.94      16.32
0.068      3387.32    3383.93      14.71
0.069      3392.19    3388.80       7.62
0.071      3417.54    3414.15       9.52
0.070      3411.46    3408.07      18.91
0.071      3414.63    3411.24      16.75
0.072      3433.93    3430.54      16.55
0.070      3465.55    3462.16      13.19
0.069      3469.46    3466.07      13.33
0.072      3467.47    3464.08      13.70
0.071      3499.98    3496.59       7.06
0.073      3517.79    3514.40       7.20
0.073      3543.12    3539.74       5.39
0.071      3510.88    3507.49      14.36
0.072      3548.69    3545.30      15.20
0.072      3560.09    3556.70      23.21
0.072      3582.62    3579.24      18.61
0.073      3580.16    3576.77      14.99
0.073      3609.68    3606.29      13.93
0.073      3627.22    3623.83      21.95
0.075      3631.18    3627.79       7.57
0.074      3653.49    3650.10      26.64
0.073      3661.34    3657.95       6.12
0.075      3682.79    3679.40       9.59
0.074      3686.82    3683.43      21.38
0.074      3694.43    3691.04      14.79
0.074      3701.94    3698.55      14.68
0.073      3729.25    3725.86       8.24
0.075      3727.93    3724.54      14.32
0.075      3748.11    3744.72      13.34
0.076      3780.36    3776.97      25.43
0.076      3783.19    3779.80      16.55
0.076      3816.14    3812.75       5.38
0.076      3807.12    3803.73      14.00
0.076      3805.84    3802.45      13.91
0.077      3830.51    3827.12      23.27
0.077      3851.16    3847.77      14.50
0.077      3853.58    3850.19      17.23
0.077      3884.67    3881.28       4.68
0.077      3889.77    3886.38      22.79
0.077      3895.53    3892.14      20.12
0.078      3911.29    3907.90      18.97
0.077      3932.55    3929.17       6.89
0.078      3960.06    3956.67      21.84
0.078      3939.71    3936.32      13.18
0.078      3976.17    3972.78      15.35
0.078      3979.96    3976.57      22.28
0.079      4006.60    4003.21      22.52
0.078      4012.02    4008.63      18.19
0.080      4034.39    4031.00      12.96
0.079      4016.06    4012.67      20.89
0.078      4053.63    4050.24      15.05
0.079      4062.26    4058.87      31.16
0.079      4080.09    4076.70      24.45
0.079      4091.11    4087.72       6.95
0.081      4109.05    4105.67      13.52
0.081      4135.77    4132.38      17.24
0.080      4123.93    4120.54      17.70
0.080      4156.95    4153.56      14.16
0.080      4157.04    4153.65      25.75
0.081      4180.22    4176.83      20.03
0.080      4191.26    4187.87      20.91
0.080      4213.19    4209.80      18.86
0.080      4198.97    4195.58      17.26
0.081      4226.80    4223.41      15.08
0.081      4248.44    4245.05       9.42
0.082      4261.29    4257.90      13.54
0.081      4275.43    4272.04      16.81
0.082      4291.01    4287.62       7.57
0.082      4316.23    4312.84      21.38
0.082      4298.53    4295.14      13.86
0.082      4318.90    4315.51      14.50
0.083      4331.95    4328.56       8.38
0.083      4358.63    4355.24      24.57
0.083      4364.55    4361.16       7.18
0.083      4388.91    4385.52      21.85
0.083      4379.75    4376.36      15.79
0.083      4399.76    4396.37      14.17
0.084      4419.19    4415.80       6.03
0.085      4434.56    4431.17       8.25
0.085      4459.84    4456.45      15.94
0.084      4460.90    4457.51      17.01
0.085      4494.32    4490.93       5.14
0.085      4486.39    4483.00      14.55
0.086      4495.20    4491.81      13.75
0.086      4508.77    4505.38      16.44
0.086      4528.90    4525.51       8.99
0.086      4540.11    4536.72      17.42
0.086      4561.40    4558.01      14.93
0.087      4583.34    4579.95      21.60
0.087      4575.23    4571.84      21.57
0.088      4609.03    4605.64       7.55
0.085      4611.48    4608.09      14.71
0.088      4632.95    4629.56      18.25
0.088      4640.56    4637.17      18.25
0.087      4663.01    4659.62       9.35
0.089      4662.71    4659.32      16.11
0.089      4661.92    4658.53      14.54
0.088      4679.76    4676.37      11.98
0.090      4709.84    4706.45      10.04
0.088      4719.58    4716.19       7.65
0.089      4731.39    4728.00      13.37
0.090      4755.97    4752.58      24.39
0.090      4744.85    4741.46      14.85
0.090      4781.48    4778.09       8.33
0.089      4784.85    4781.46       3.88
0.090      4805.08    4801.69      17.76
0.090      4811.11    4807.72      14.82
0.090      4842.14    4838.75       9.32
0.091      4842.73    4839.34      22.98
0.091      4857.12    4853.74      14.33
0.091      4863.41    4860.02       8.82
0.092      4890.39    4887.00      12.75
0.094      4901.59    4898.20       7.87
0.091      4923.57    4920.18       5.20
0.091      4919.47    4916.08      13.78
0.091      4933.73    4930.34      15.36
0.091      4968.00    4964.61      13.73
0.091      4970.50    4967.11      16.56
0.091      4973.59    4970.20      12.52
0.092      4996.30    4992.91       9.96
0.093      5029.88    5026.49      20.98
0.092      5007.23    5003.84      17.02
0.092      5045.34    5041.95      18.31
0.092      5043.57    5040.18      14.50
0.093      5076.11    5072.72      15.14
0.091      5067.58    5064.19      17.00
0.094      5096.72    5093.33      14.29
0.094      5100.61    5097.22      14.41
0.093      5132.34    5128.95       6.78
0.092      5109.52    5106.13      21.61
0.094      5140.42    5137.03      15.23
0.093      5152.98    5149.59      14.19
0.095      5166.80    5163.42      12.45
0.095      5200.43    5197.04      15.37
0.095      5205.46    5202.07      17.37
0.095      5236.73    5233.34      14.00
0.095      5232.80    5229.42      19.14
0.095      5246.53    5243.14      13.42
0.095      5256.91    5253.52      14.23
0.095      5286.06    5282.67      14.91
0.096      5283.12    5279.74       4.19
0.096      5306.93    5303.54      15.86
0.096      5282.12    5278.73      13.76
0.095      5329.85    5326.46      13.39
0.096      5316.39    5313.00      15.02
0.096      5343.84    5340.45      15.68
0.097      5371.57    5368.18      15.29
0.097      5388.04    5384.65      22.93
0.097      5412.55    5409.16       6.13
0.097      5398.57    5395.18      12.76
0.098      5432.10    5428.71      16.73
0.098      5447.79    5444.40       7.32
0.098      5474.34    5470.95      29.21
0.099      5454.51    5451.12      23.21
0.099      5494.89    5491.50      14.51
0.099      5481.85    5478.46      22.69
0.098      5492.36    5488.97      14.83
0.098      5523.52    5520.13      23.07
0.100      5540.25    5536.86      13.07
0.099      5545.04    5541.65       9.80
0.100      5574.35    5570.96       7.85
0.100      5570.83    5567.44      17.36
0.102      5600.27    5596.88      15.02
0.100      5586.29    5582.90      14.20
0.100      5609.09    5605.70      14.42
0.100      5628.70    5625.31      17.26
0.101      5646.52    5643.13      22.77
0.100      5675.17    5671.78       5.71
0.102      5681.11    5677.72       7.65
0.101      5687.98    5684.59      14.73
0.103      5699.40    5696.01       6.67
0.102      5738.87    5735.48       5.55
0.103      5726.54    5723.15      18.64
0.103      5762.27    5758.88      15.85
0.103      5746.17    5742.78      23.05
0.104      5760.42    5757.03      15.00
0.105      5774.81    5771.42      15.45
0.103      5801.99    5798.60      14.31
0.102      5813.46    5810.07       7.35
0.104      5838.23    5834.84      15.61
0.103      5826.25    5822.86      15.06
0.105      5865.03    5861.64      18.09
0.103      5863.81    5860.42      15.22
0.104      5879.41    5876.02      14.39
0.105      5890.07    5886.68      19.01
0.105      5911.98    5908.59      19.74
0.106      5941.65    5938.26       7.55
0.105      5944.87    5941.48      17.96
0.105      5957.84    5954.45      14.54
0.106      5975.90    5972.51       8.63
0.106      6007.39    6004.00      10.54
0.106      5993.20    5989.81      13.60
0.107      6028.77    6025.38       8.31
0.106      6022.67    6019.28      23.31
0.106      6021.94    6018.55      14.04
0.107      6056.19    6052.80      14.54
0.108      6078.28    6074.89      14.94
0.107      6080.18    6076.79      21.48
0.107      6107.86    6104.47      23.33
0.108      6103.54    6100.15      13.89
0.108      6133.28    6129.89       8.00
0.108      6144.82    6141.43       8.80
0.107      6165.58    6162.19      10.37
0.109      6150.17    6146.78      14.18
0.109      6181.27    6177.88      15.30
0.108      6202.03    6198.64      13.11
0.109      6215.75    6212.36      19.23
0.108      6222.76    6219.37      16.60
0.110      6244.71    6241.32      19.96
0.109      6264.36    6260.97       6.26
0.109      6265.08    6261.69      13.59
0.110      6298.69    6295.30       8.03
0.110      6278.33    6274.94      14.38
0.110      6307.14    6303.75      14.96
0.109      6310.89    6307.50      20.20
0.112      6348.36    6344.97      15.01
0.110      6345.98    6342.59      19.39
0.113      6376.57    6373.18      13.93
0.111      6373.04    6369.65       5.75
0.112      6394.79    6391.40       7.70
0.112      6410.03    6406.64       7.66
0.112      6433.62    6430.23      21.64
0.112      6426.69    6423.30      14.88
0.113      6461.22    6457.83       7.85
0.112      6453.78    6450.39      14.33
0.112      6461.18    6457.79      15.17
0.113      6482.48    6479.09      23.24
0.113      6506.16    6502.77      14.01
0.114      6528.36    6524.97      21.53
0.114      6543.43    6540.04      20.74
0.114      6565.23    6561.84       4.64
0.113      6556.28    6552.89      16.20
0.114      6574.26    6570.87      17.09
0.115      6602.81    6599.42      19.08
0.116      6627.45    6624.06       6.96
0.115      6628.77    6625.38      18.81
0.116      6656.09    6652.70      14.32
0.116      6648.42    6645.03       8.48
0.116      6672.84    6669.45      19.15
0.116      6684.07    6680.68      15.26
0.118      6715.64    6712.25       9.89
0.118      6707.29    6703.90      14.13
0.119      6719.68    6716.29      14.94
0.117      6723.56    6720.17      23.66
0.117      6737.47    6734.08      14.57
0.118      6766.87    6763.48      20.14
0.119      6787.29    6783.90      15.82
0.120      6784.56    6781.17       4.43
0.118      6819.07    6815.68      15.79
0.119      6807.81    6804.42      13.82
0.118      6840.38    6836.99       3.85
0.117      6853.94    6850.55       6.27
0.118      6875.68    6872.29       9.18
0.118      6869.33    6865.94      17.54
0.118      6907.05    6903.66      12.26
0.119      6894.42    6891.03      21.18
0.119      6915.99    6912.60      15.11
0.118      6924.50    6921.11      15.65
0.120      6958.97    6955.58      13.89
0.119      6969.08    6965.69      17.05
0.120      6979.71    6976.32      20.37
0.120      7012.62    7009.23       7.07
0.121      7008.92    7005.53      17.11
0.121      7026.30    7022.91      19.30
0.121      7047.73    7044.34      17.69
0.122      7070.85    7067.46       3.66
0.125      7066.81    7063.42      18.02
0.122      7092.97    7089.58      16.05
0.123      7099.27    7095.88       8.50
0.122      7120.04    7116.65      12.11
0.122      7139.51    7136.12      19.17
0.123      7159.58    7156.19       9.77
0.123      7146.04    7142.65      15.97
0.123      7186.29    7182.90       8.29
0.123      7177.26    7173.87      17.42
0.124      7195.57    7192.18      14.49
0.123      7216.84    7213.45      23.95
0.124      7246.69    7243.30      11.75
0.124      7242.66    7239.27      14.45
0.124      7273.80    7270.41      14.31
0.124      7252.91    7249.52      19.12
0.124      7273.74    7270.35      13.69
0.124      7301.03    7297.64      23.29
0.124      7314.77    7311.38      14.18
0.125      7323.80    7320.42      11.80
0.127      7354.29    7350.90      18.65
0.127      7331.95    7328.56      15.46
0.127      7378.16    7374.77       9.39
0.127      7388.34    7384.95       3.79
0.128      7415.43    7412.04      21.21
0.129      7398.64    7395.25      13.68
0.128      7440.82    7437.43       5.81
0.127      7406.38    7402.99      26.18
0.127      7466.05    7462.66      19.78
0.128      7465.83    7462.44      15.25
0.129      7499.81    7496.42      25.10
0.127      7484.71    7481.33      18.30
0.128      7526.10    7522.71      10.27
0.129      7507.62    7504.24      26.21
0.130      7552.52    7549.13      13.09
0.127      7553.17    7549.78      14.91
0.129      7581.65    7578.26      13.76
0.129      7570.97    7567.58      16.50
0.130      7609.90    7606.51      14.81
0.130      7625.75    7622.36      27.56
0.130      7619.87    7616.48      13.94
0.130      7632.60    7629.21      15.73
0.130      7650.48    7647.09      14.12
0.131      7669.59    7666.20      16.69
0.131      7678.66    7675.27      14.07
0.130      7716.52    7713.13       9.69
0.131      7726.52    7723.13      15.77
0.130      7739.16    7735.77      25.00
0.131      7750.47    7747.08      18.05
0.131      7782.55    7779.17      14.89
0.132      7779.83    7776.44      16.36
0.132      7807.96    7804.57       3.56
0.132      7804.37    7800.98      16.86
0.133      7827.22    7823.83      18.14
0.133      7846.62    7843.23      19.30
0.133      7867.54    7864.15       9.55
0.132      7866.65    7863.26      18.74
0.133      7893.19    7889.80       9.98
0.133      7900.32    7896.93       6.59
0.134      7916.64    7913.25       8.44
0.134      7931.58    7928.19       6.39
0.133      7960.84    7957.45      11.41
0.134      7949.62    7946.23      13.92
0.134      7989.87    7986.48       5.86
0.134      7982.38    7978.99      13.90
0.134      8008.70    8005.31      14.55
0.134      8005.12    8001.73      14.05
0.136      8045.54    8042.15       5.92
0.135      8035.14    8031.75      21.59
0.134      8075.60    8072.21       7.43
0.134      8063.68    8060.29      24.77
0.135      8095.22    8091.83      14.52
0.135      8105.81    8102.42      14.64
0.135      8134.03    8130.64       7.41
0.137      8115.50    8112.11      19.07
0.139      8166.08    8162.69       7.36
0.135      8151.34    8147.95      15.63
0.136      8179.74    8176.35      15.15
0.136      8189.57    8186.18      14.11
0.137      8218.80    8215.42       9.14
0.137      8205.24    8201.85      14.58
0.136      8243.49    8240.10      14.68
0.136      8229.88    8226.49      14.95
0.137      8260.77    8257.38      15.70
0.137      8272.65    8269.26      20.86
0.137      8311.53    8308.14       5.86
0.138      8296.82    8293.43      22.49
0.137      8337.34    8333.95      11.19
0.138      8332.28    8328.89      27.26
0.138      8359.25    8355.86      13.52
0.138      8370.25    8366.86      15.07
0.138      8402.50    8399.11       7.96
0.138      8379.32    8375.93      15.07
0.138      8424.59    8421.20      17.86
0.138      8412.36    8408.97      24.27
0.138      8435.80    8432.41      14.39
0.138      8454.27    8450.88      14.39
0.139      8489.06    8485.67      14.80
0.140      8475.55    8472.17      27.68
0.141      8517.97    8514.58      10.37
0.140      8519.66    8516.27      13.45
0.141      8533.86    8530.47      12.98
0.140      8545.35    8541.96      13.96
0.140      8581.23    8577.84      29.42
0.141      8569.39    8566.00      20.55
0.141      8602.57    8599.18      11.72
0.141      8603.28    8599.89      13.49
0.141      8637.89    8634.50      18.56
0.142      8644.92    8641.53       7.70
0.141      8670.55    8667.17      19.92
0.141      8664.07    8660.68      15.05
0.141      8697.47    8694.08       7.96
0.142      8687.85    8684.46      15.64
0.142      8722.04    8718.65      13.09
0.143      8730.44    8727.05      12.00
0.141      8760.00    8756.61      17.23
0.143      8753.96    8750.57      14.01
0.143      8787.48    8784.09      20.21
0.144      8783.50    8780.11      15.38
0.144      8812.05    8808.66      14.49
0.145      8821.33    8817.94       7.14
0.143      8845.77    8842.38      20.68
0.144      8845.67    8842.28      14.08
0.145      8868.64    8865.25       5.94
0.146      8869.97    8866.58      15.29
0.146      8898.62    8895.23      13.96
0.145      8914.75    8911.36       9.52
0.145      8933.96    8930.58      19.29
0.146      8929.49    8926.10      14.66
0.147      8964.04    8960.65      24.75
0.146      8962.94    8959.55       5.02
0.146      8987.18    8983.79      17.49
0.148      8995.54    8992.15       6.25
0.147      9028.30    9024.91      19.26
0.146      9023.00    9019.61      12.00
0.147      9051.53    9048.14      17.96
0.147      9052.66    9049.27       6.98
0.147      9080.84    9077.45      31.92
0.147      9089.02    9085.63      23.52
0.147      9082.86    9079.47      10.59
0.149      9110.68    9107.29      16.07
0.147      9144.04    9140.65      19.16
0.148      9143.73    9140.34      13.45
0.147      9152.59    9149.20      21.02
0.146      9181.00    9177.61      23.43
0.148      9198.14    9194.75       7.29
0.148      9203.71    9200.33      31.20
0.149      9223.80    9220.41      19.59
0.149      9236.08    9232.69      16.49
0.149      9246.91    9243.52      18.88
0.148      9267.09    9263.70      21.11
0.150      9279.94    9276.55       5.56
0.149      9288.96    9285.58      17.18
0.149      9307.77    9304.38       5.75
0.149      9321.25    9317.86      18.89
0.149      9327.42    9324.03      15.64
0.149      9344.32    9340.93      14.77
0.150      9350.07    9346.68      20.73
0.150      9363.27    9359.88      18.96
0.151      9403.59    9400.20      25.31
0.150      9394.26    9390.87      14.86
0.150      9415.90    9412.51      13.47
0.150      9435.78    9432.39      15.20
0.150      9457.31    9453.92      15.92
0.150      9473.19    9469.80      15.50
0.150      9490.22    9486.83      17.41
0.153      9490.23    9486.84      19.18
0.151      9505.95    9502.56      15.12
0.152      9539.22    9535.83      15.57
0.152      9531.89    9528.50      15.12
0.153      9566.37    9562.98       8.26
0.154      9569.73    9566.34      23.94
0.153      9595.52    9592.13      15.05
0.154      9608.34    9604.95      15.03
0.153      9635.00    9631.61      17.79
0.154      9627.73    9624.34      17.79
0.154      9659.45    9656.06       9.03
0.154      9650.95    9647.56      17.66
0.154      9685.18    9681.79      10.89
0.155      9699.91    9696.52      17.32
0.156      9702.48    9699.09      15.17
0.155      9728.25    9724.86       5.71
0.155      9753.07    9749.68      24.12
0.156      9745.22    9741.83      19.00
0.155      9775.30    9771.91      16.77
0.155      9789.07    9785.68      22.92
0.155      9806.45    9803.06      14.96
0.156      9813.62    9810.24      13.31
0.156      9826.00    9822.61      15.62
0.157      9842.32    9838.93      23.20
0.157      9858.27    9854.88      14.61
0.157      9861.68    9858.29      15.46
0.158      9909.72    9906.33       9.47
0.159      9890.77    9887.38      30.09
0.160      9939.36    9935.97       8.64
0.159      9924.18    9920.79      14.33
0.160      9962.08    9958.69      19.01
0.159      9978.75    9975.36       7.55
0.159     10003.47   10000.08      21.31
0.159     10011.08   10007.69      28.57
0.159     10027.41   10024.02      18.75
0.160     10031.50   10028.11       9.65
0.160     10047.02   10043.63      24.83
0.160     10069.48   10066.09      17.45
0.161     10080.48   10077.09       5.08
0.161     10088.76   10085.37      14.34
0.162     10111.04   10107.65       8.22
0.161     10115.97   10112.58      18.24
0.162     10119.38   10115.99      15.26
0.161     10140.19   10136.80      14.96
0.161     10167.50   10164.11      16.79
0.159     10184.74   10181.35      14.46
0.160     10199.13   10195.74      21.75
0.161     10208.02   10204.63      15.37
0.161     10211.43   10208.04      15.52
0.162     10256.38   10252.99      19.29
0.161     10236.48   10233.09      14.34
0.162     10283.99   10280.60       3.90
0.163     10275.29   10271.90      23.70
0.163     10305.73   10302.34      10.02
0.161     10306.06   10302.67      24.14
0.163     10339.94   10336.55      15.33
0.163     10342.38   10338.99       7.30
0.162     10356.95   10353.56      15.16
0.162     10374.12   10370.73      15.81
0.163     10398.00   10394.61      22.75
0.165     10400.11   10396.72      14.96
0.165     10445.78   10442.39      14.52
0.165     10432.17   10428.78      15.21
0.165     10467.00   10463.61      14.72
0.165     10458.01   10454.62      22.71
0.165     10500.09   10496.70      17.43
0.166     10509.53   10506.14       6.88
0.166     10537.22   10533.83      15.35
0.166     10535.82   10532.43      23.97
0.167     10566.37   10562.98      20.63
0.166     10567.48   10564.09      19.39
0.167     10585.41   10582.02      27.48
0.168     10599.07   10595.68      15.38
0.167     10619.99   10616.60      43.35
0.168     10630.21   10626.83      21.78
0.167     10650.59   10647.20      21.79
0.167     10644.50   10641.11      15.26
0.168     10656.08   10652.69      14.55
0.167     10695.47   10692.08      19.21
0.167     10690.90   10687.51      14.68
0.169     10725.18   10721.79      20.23
0.169     10715.80   10712.41      14.03
0.168     10754.36   10750.97      17.42
0.168     10771.31   10767.92      14.49
0.168     10774.41   10771.02      14.97
0.168     10791.78   10788.39      25.43
0.169     10810.46   10807.07      15.57
0.169     10819.61   10816.22      22.89
0.170     10828.79   10825.40      14.52
0.169     10860.16   10856.77      15.91
0.170     10881.21   10877.82      10.35
0.170     10870.09   10866.70      14.43
0.172     10909.99   10906.60       8.42
0.170     10918.58   10915.19      14.33
0.169     10941.44   10938.05      16.65
0.171     10958.36   10954.97      22.58
0.169     10971.63   10968.24       6.05
0.169     10978.79   10975.40      27.94
0.170     10982.94   10979.55       8.06
0.171     11011.68   11008.29      22.68
0.171     11020.63   11017.24      21.54
0.172     11042.94   11039.55      18.23
0.171     11051.44   11048.05      31.05
0.171     11086.01   11082.62      19.67
0.171     11090.11   11086.72      30.89
0.171     11113.19   11109.80      20.24
0.171     11115.39   11112.00      14.92
0.173     11141.21   11137.82      15.59
0.171     11153.62   11150.23      14.45
0.173     11172.15   11168.76      14.50
0.171     11167.68   11164.29      16.73
0.172     11203.62   11200.23      14.83
0.172     11209.82   11206.43      16.55
0.173     11250.11   11246.72      17.72
0.172     11250.35   11246.96      26.89
0.173     11274.30   11270.91      14.88
0.173     11269.91   11266.52      25.13
0.173     11275.39   11272.00      15.82
0.173     11314.48   11311.09      16.64
0.174     11330.12   11326.74      19.70
0.173     11322.62   11319.23      19.18
0.174     11347.98   11344.59      20.15
0.173     11360.75   11357.36      16.09
0.174     11367.23   11363.84      15.17
0.175     11411.41   11408.02      16.04
0.175     11409.13   11405.74      14.68
0.175     11424.04   11420.65      17.81
0.176     11434.79   11431.40      16.69
